"id","weights","act_personal","act_household","act_carehhm","act_carenhm","act_work","act_school","act_groceries","act_ppservice","act_hhservice","act_admin","act_eating","act_leisure","act_sport","act_religious","act_volunteer","act_other","trv_personal","trv_household","trv_care_child","trv_care_adult","trv_work","trv_school","trv_groceries","trv_ppservice","trv_hhservice","trv_admin","trv_eating","trv_leisure","trv_sport","trv_religious","trv_volunteer","trv_other","act_buyfood","act_shopping","trv_buyfood","trv_shopping","trv_social","act","trv","budget","age","female","eldertime","childtime","children","youngest","spouse","spousework","work","multijob","FTjob","PTjob","worktime","school","weekend","holiday","metro","trv.eatout_w.spouse","trv.eating_w.spouse","trv.eating_w.hhchild","trv.social_w.hhchild","trv.shop_w.spouse","trv.groceries_w.spouse","trv.care_w.hhchild","trv.social_w.spouse","trv.food_w.spouse","trv.religious_w.spouse","trv.groceries_w.hhchild","trv.food_w.hhchild","trv.religious_w.hhchild","trv.care_w.spouse","trv.shop_w.hhchild","trv.care_w.elder","trv.care_w.nhchild","income","inc"
"20221010222238",4948033.234733,570,120,0,0,0,0,0,0,0,0,65,640,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,80,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"$49,000 - $74,999"
"20221010222260",14440086.882858,585,0,0,590,0,0,0,0,0,0,30,185,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,50,1440,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"$100,000 - $149,999"
"20221010222279",5871370.012522,665,30,60,0,0,0,40,0,0,0,15,415,0,0,0,90,0,0,0,0,0,0,75,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1315,125,1440,43,1,0,715,2,3,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,"$25,000 - $49,999"
"20221010222300",6060847.915169,675,60,20,0,0,0,5,0,0,0,260,235,0,0,0,75,0,0,0,15,0,0,5,0,0,0,45,25,0,0,0,0,0,0,0,0,20,1330,110,1440,30,0,0,690,1,0,1,1,1,0,1,0,50,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20221010222302",33611003.366506,578,0,0,7,0,415,0,0,0,0,95,180,120,0,0,5,0,0,20,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1400,40,1440,16,0,0,0,1,16,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20221010222325",12518340.492842,719,0,0,0,0,0,0,0,0,0,10,509,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,1432,8,1440,25,0,0,0,0,0,0,0,1,0,1,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"$49,000 - $74,999"
"20221010222327",13091593.307863,465,260,0,30,0,0,0,0,0,0,30,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,75,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Less than $25,000"
"20221010222351",4909186.558767,670,405,0,0,0,0,0,0,0,0,60,185,45,0,0,5,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,70,1440,63,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20221010222364",5674061.454673,730,60,80,0,0,0,0,0,0,0,75,290,155,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,20,0,0,0,0,0,0,0,0,1390,50,1440,34,1,0,175,2,3,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"$49,000 - $74,999"
"20221010222385",4815084.135835,465,20,0,0,0,0,0,0,0,0,0,820,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,67,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"$49,000 - $74,999"
"20221010222402",8659155.790983,510,310,230,120,0,0,30,0,0,0,75,145,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,20,1440,43,1,0,0,1,13,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,"Less than $25,000"
"20221010222445",13911505.055503,650,130,0,0,300,0,0,60,0,0,30,240,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,30,1440,24,1,0,0,0,0,0,0,1,0,1,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"$25,000 - $49,999"
"20221010222450",12788720.592416,660,90,0,0,0,0,0,0,0,0,90,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,54,0,0,0,0,0,1,0,1,0,1,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"$100,000 - $149,999"
